Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1973-02-21 00:00:00-05:00,1.5612519979476929,1.5612519979476929,1.5612519979476929,1.5612519979476929,99200,0.0,0.0
1973-02-22 00:00:00-05:00,1.5665266513824463,1.5665266513824463,1.5665266513824463,1.5665266513824463,47200,0.0,0.0
1973-02-23 00:00:00-05:00,1.5612519979476929,1.5612519979476929,1.5612519979476929,1.5612519979476929,133600,0.0,0.0
1973-02-26 00:00:00-05:00,1.5612519979476929,1.5612519979476929,1.5612519979476929,1.5612519979476929,24000,0.0,0.0
1973-02-27 00:00:00-05:00,1.5612519979476929,1.5612519979476929,1.5612519979476929,1.5612519979476929,41600,0.0,0.0
1973-02-28 00:00:00-05:00,1.5612519979476929,1.5612519979476929,1.5612519979476929,1.5612519979476929,66400,0.0,0.0
1973-03-01 00:00:00-05:00,1.5718014240264893,1.5718014240264893,1.5718014240264893,1.5718014240264893,93600,0.0,0.0
1973-03-02 00:00:00-05:00,1.5770756006240845,1.5770756006240845,1.5770756006240845,1.5770756006240845,26400,0.0,0.0
1973-03-05 00:00:00-05:00,1.5981744527816772,1.5981744527816772,1.5981744527816772,1.5981744527816772,68000,0.0,0.0
1973-03-06 00:00:00-05:00,1.645645022392273,1.645645022392273,1.645645022392273,1.645645022392273,76800,0.0,0.0
1973-03-07 00:00:00-05:00,1.645645022392273,1.645645022392273,1.645645022392273,1.645645022392273,51200,0.0,0.0
1973-03-08 00:00:00-05:00,1.6561936140060425,1.6561936140060425,1.6561936140060425,1.6561936140060425,84800,0.0,0.0
1973-03-09 00:00:00-05:00,1.6561936140060425,1.6561936140060425,1.6561936140060425,1.6561936140060425,78400,0.0,0.0
1973-03-12 00:00:00-05:00,1.6509180068969727,1.6509180068969727,1.6509180068969727,1.6509180068969727,73600,0.0,0.0
1973-03-13 00:00:00-05:00,1.6561936140060425,1.6561936140060425,1.6561936140060425,1.6561936140060425,47200,0.0,0.0
1973-03-14 00:00:00-05:00,1.6614677906036375,1.6614677906036375,1.6614677906036375,1.6614677906036377,50400,0.0,0.0
1973-03-15 00:00:00-05:00,1.6561936140060425,1.6561936140060425,1.6561936140060425,1.6561936140060425,70400,0.0,0.0
1973-03-16 00:00:00-05:00,1.6509180068969727,1.6509180068969727,1.6509180068969727,1.6509180068969727,44800,0.0,0.0
1973-03-19 00:00:00-05:00,1.6350950002670288,1.6350950002670288,1.6350950002670288,1.6350950002670288,28000,0.0,0.0
1973-03-20 00:00:00-05:00,1.6034473180770874,1.6034473180770874,1.6034473180770874,1.6034473180770874,68800,0.0,0.0
